id,image,brand,title,price
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-091-04.jpg,G.SKILL,G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GVK,509
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-137-438-V08.jpg,MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS OC Video Card,6
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-331-262-S02.jpg,Team Group,Team Group 64GB C186 USB 3.1 Flash Drive (TC186364GB01),79
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-147-275-V14.jpg,Rosewill,ROSEWILL CULLINAN MX Tempered Glass RGB ATX Mid Tower Computer Case with Remote Controlled RGB LED Fans,59
,https://c1.neweggimages.com/ProductImageCompressAll300/20-232-298-02.jpg,G.SKILL,G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model F4-3000C15D-16GVKB,19
,https://c1.neweggimages.com/ProductImageCompressAll300/A6PF_131478624856593044PQH8JAtfyf.jpg,Wavlink,"Wavlink WL-ST334U USB 3.0 to SATA Dual Bay Hard drive Docking Station for 2.5"" 3.5"" SATA HDD/SSD Storage Dock 2x8TB Hard Drive Enclosure, 5Gbps Data Transfer, UASP, Offline Clone/Duplicator",109
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-144-177-V01.jpg,MSI,MSI PERFORMANCE GAMING X470 GAMING PLUS AM4 ATX AMD Motherboard,6
,https://c1.neweggimages.com/ProductImageCompressAll300/20-313-310-09.jpg,Team Group,"Team 64GB microSDXC UHS-I/U1 Class 10 Memory Card with Adapter, Speed Up to 80MB/s (TUSDX64GUHS03)",58
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AJNU_132151355442627011SzAyIFiQKF.jpg,XPG,XPG SX8100 512GB PCIe NVMe Gen3x4 M.2 2280 Internal Solid State Drive (ASX8100NP-512GT-C),59
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/42-301-701-V01.jpg,APC,APC BE670M1 675 VA 360 Watts 7 Outlets Uninterruptible Power Supply (UPS) with USB Charging Port (Stepup of BE600M1),19
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A6SAS191130wJ19V.jpg,ASRock,Fossil Men's Thin Metal Square Classic Sunglasses  FOS2067S 0003 IR,109
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-844-V07.jpg,MSI,ASRock Fatal1ty B450 GAMING-ITX/AC AM4 Mini ITX AMD Motherboard,169
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-137-291-Z01.jpg,G.SKILL,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC Video Card,104
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-660-Z01.jpg,Seagate,G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model F4-3000C16D-32GVRB,59
,https://c1.neweggimages.com/ProductImageCompressAll300/22-179-110-S01.jpg,Rosewill,"Seagate FireCuda Gaming SSHD 2TB SATA 6.0Gb/s 2.5"" Notebooks / Laptops Internal Hard Drive ST2000LX001",69
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-342-V01.jpg,Corsair,Rosewill 850W Gaming Power Supply - Glacier 850M,99
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-139-101-V10.jpg,Phanteks Company,CORSAIR RM Series RM650 CP-9020194-NA 650W Power Supply,69
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-854-075-V05.jpg,ASRock,"Phanteks Eclipse P350X PH-EC350PTG_DBK Black Compact EATX Mid-Tower, Tempered Glass, Digital RGB Computer Case",169
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-888-V01.jpg,ASRock,ASRock X570 EXTREME4 AM4 ATX AMD Motherboard,189
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-894-V11[2].jpg,Acer America,ASRock X570 STEEL LEGEND WIFI AX AM4 ATX AMD Motherboard,319
,https://c1.neweggimages.com/ProductImageCompressAll300/ACA1_1_201707072005949736.jpg,MSI,"Refurbished: Acer Predator XB272 BMIPRZ 27"" Full HD 1920x1080 1ms 240Hz HDMI DisplayPort Built-in Speakers NVIDIA G-SYNC LCD LED Backlit Gaming Monitor",79
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-144-195-V01.jpg,Rosewill,MSI PERFORMANCE GAMING B450M GAMING PLUS AM4 Micro ATX AMD Motherboard,49
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-131-V01.jpg,Microsoft,"Rosewill Hive Series 550W Modular Gaming Power Supply, 80 PLUS Bronze Certified, Single +12V Rail, Intel 4th Gen CPU Ready, SLI & CrossFire Ready - HIVE-550S",14
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AJMK_132121544427595337LgJjmYsI1t.jpg,H&R Block,"TV Wall Mount Bracket for Most 32-60 inch LED, LCD, OLED and Plasma Flat Screen TVs - Fits 16”- 24”Wood Studs, Tilt Low Profile with VESA 600 x 400mm Holds up to 100lbs",949
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A98C_1_201906081585997848.jpg,XPG,"Microsoft Laptop Surface Laptop JKX-00001 Intel Core i7 7th Gen 7660U (2.50 GHz) 16 GB Memory 1 TB SSD Intel Iris Plus Graphics 640 13.5"" Touchscreen Windows 10 Pro 64-Bit",69
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-732-122-V01.jpg,ASUS,H&R BLOCK Tax Software Premium & Business 2019,198
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AJNU_1321513543821376563nON2WijUC.jpg,Acer America,XPG SX8100 2TB PCIe NVMe Gen3x4 M.2 2280 Internal Solid State Drive (ASX8100NP-2TT-C),1149
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-117-V01.jpg,ADATA,"ASUS ZenBook UX533 Ultra Slim Compact Laptop, 15.6"" FHD 4-Way NanoEdge, Intel Core i7-8565U, 16GB DDR4, 1TB PCIe SSD, GeForce GTX 1050, IR Camera, TPM, Windows 10 Pro, Icicle Silver, UX533FD-NS76 Newe",1799
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A22F_132032157831014833T3wlqhkJte.jpg,Homall,LG OLED65C9PUA Class HDR 4K UHD Smart OLED TV (2019 Model),679
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-316-759-V10.jpg,Logitech,"Acer Laptop Aspire 5 A515-54G-70TZ Intel Core i7 8th Gen 8565U (1.80 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce MX250 15.6"" Windows 10 Home 64-bit (Only @ Newegg)",49
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AJNU_132010571821703231HmPPdc8C4J.jpg,ASUS,ADATA Ultimate SU800 512GB 3D NAND 2.5 Inch SATA-III Internal Solid State Drive (ASU800SS-512GT-C),91
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AGDW_132077283833621589lc4qb5i2ac.jpg,NZXT,"Homall Racing Style Ergonomic Computer Gaming Chair with High-Back Swivel PU Leather, Seat Height Adjustable, and Lumbar & Head Support",24
,https://c1.neweggimages.com/ProductImageCompressAll300/26-104-674-15.jpg,ASUS,Logitech G600MMO Gaming Mouse - Black,449
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-126-344-V14.jpg,ASUS,ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,99
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-146-320-01.jpg,Vantrue,NZXT H510i - Compact ATX Mid -Tower PC Gaming Case - Front I/O USB Type-C Port - Vertical GPU Mount - Tempered Glass Side Panel - Integrated RGB Lighting - Water-Cooling Ready - White/Black,529
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-126-266-V50.jpg,Logitech,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,279
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-119-111-S09.jpg,SkyTech,"ASUS AMD AM4 ROG Strix X570-E Gaming ATX Motherboard with PCIe 4.0, WiFi 6, 2.5Gbps LAN",139
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A79U_1315468737364125830d9YRlUdiH.jpg,Fanatics,"Vantrue N2 Pro Dual Dash Cam Dual 1920x1080P Front and Rear(2.5K Single Front Recording) 1.5"" 310 Degree Dashboard Camera w/Infrared Night Vision, Sony Sensor, Parking Mode",19
,https://c1.neweggimages.com/ProductImageCompressAll300/26-104-998-14.jpg,OLOy,Logitech G402 910-004069 Black Wired Optical Hyperion Fury FPS Gaming Mouse with High Speed Fusion Engine,639
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/83-289-034-S07.jpg,OLOy,SkyTech - Gaming Desktop PC - Ryzen 5 2600 (3.40 GHz) AMD Radeon RX 580 8 GB DDR4 500 GB SSD Windows 10 Home 64-bit ST-SHADOW-2600-500GS,40
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-632-004-S02.jpg,Rosewill,Fanatics $50 Gift Card (Email Delivery),74
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-821-167-Z05.jpg,Anker,OLOy WarHawk RGB  DDR4 3600 (PC4 28800) 16GB (2 x 8GB) 288-Pin Intel/AMD Ready Desktop Memory Model MD4U083618BEDA,99
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-821-201-V01.jpg,Microsoft,OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model MD4U163216CFDA,89
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-325-V01.jpg,GIGABYTE,"Rosewill PHOTON Series 1050W Full Modular Gaming Power Supply, 80 PLUS Gold, Single +12V Rail, Intel 4th Gen CPU Ready, SLI & Crossfire Ready - Photon-1050",19
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ACCU_132176701395008120EyjbIrkLG8.jpg,G.SKILL,"Anker 40W 4-Port USB Wall Charger with Foldable Plug, PowerPort 4 for iPhone 11/11 Pro/Max/ XS/XS Max/XR /X/8/7/6/Plus, iPad Pro/Air 2/Mini 4/3, Galaxy/Note/Edge, LG, Nexus, HTC, and More (White)",199
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-350-412-S01.jpg,Microsoft,Microsoft Windows 10 Pro (USB Flash Drive),549
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/24-012-006-V07.jpg,MSI,"AORUS AD27QD 27"" 144Hz QHD 2560 x 1440 1440P FreeSync and G-SYNC Compatible Gaming Monitor Exclusive Built-in ANC Display HDR 1ms Response Time 10-Bit IPS 95% DCI-P3 Display Port 2 x HDMI 2 x USB 3.0",149
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-795-V10.jpg,Wavlink,G.SKILL Trident Z Royal Series 32GB (2 x 16GB) 288-Pin RGB DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GTRS,389
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-011-531-S01.jpg,G.SKILL,"Microsoft Office Home and Business 2019 - 1 device, Windows 10 PC/Mac Download",19
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-137-464-V01.jpg,ASRock,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT EVOKE OC Video Card,54
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A6PF_1314363506126079209LNsX9JrdS.jpg,Thermaltake,Wavlink Updated Hard drive Docking Station - USB 3.0 to SATA Dual Bay HDD Docking Station in Red For 2.5 & 3.5 In. HDD/SSD SATA I/II/III- Support Offline Clone / Duplicator / Backup / UASP Functions,109
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-884-V01.jpg,Adidas,G.SKILL Aegis 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Memory Kit Model F4-3200C16D-16GIS,44
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-849-V06.jpg,Lian Li,ASRock Z390 Phantom Gaming 4 LGA 1151 (300 Series) ATX Intel Motherboard,50
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-153-233-01.jpg,Dyson,Thermaltake Smart Series 500W SLI/CrossFire Ready Continuous Power ATX 12V V2.3 / EPS 12V 80 PLUS Certified Active PFC Power Supply Haswell Ready PS-SPD-0500NPCWUS-W,89
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-508-007-S01.jpg,SAMSUNG,adidas $50 Gift Card (Email Delivery),199
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-112-580-V39.jpg,Rosewill,LIAN LI ALPHA 550W White SECC Mid Chassis Computer Case,249
,https://c1.neweggimages.com/ProductImageCompressAll300/ADVWS191203oKAJr.jpg,Rosewill,Dyson V7 Animal Cordless HEPA Vacuum,27
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AD7H_1_201704041146788711.jpg,Domino's,Samsung LU28E570DS/ZA Ultra HD 4K 3840x2160 60Hz 1ms 2xHDMI DisplayPort FlickerFree AMD FreeSync Monitor,139
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AKNZ_132061577243092481vD48l8RFol.jpg,Wavlink,"Smart Plug, POWRUI Mini WIFI Outlet Compatible With Amazon Alexa & Google Home,No Hub Required Timing Function Control Your Home,ETL certified, (4 pack)",64
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-251-V01.jpg,ASRock,"Rosewill 1600W Modular Gaming Power Supply, Continuous @ 50  Degree C, 80 PLUS GOLD Certified, SLI & CrossFire Ready - HERCULES-1600S",25
,https://c1.neweggimages.com/ProductImageCompressAll300/11-147-259-V60.jpg,MSI,"Rosewill ATX Mid Tower Gaming PC Computer Case with Blue LED Fans, Tempered Glass/Steel, Optimal Airflow, USB 3.0 - CULLINAN MX-BLUE",37
,https://c1.neweggimages.com/ProductImageCompressAll300/32-434-003-03.jpg,MSI,Domino's $25 Gift Card (Email Delivery),94
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A6PF_132116172350888442pPlrNln8vH.jpg,segway,"Wavlink X-MAN USB 3.0 to SATA Dual-Bay Hard Drive Docking Station with Offline Clone & UASP, 2 USB 3.0 Port, 2 Fast Charging Port, SD & Micro SD Card Reader, 7 LED Indication, for 2.5""/3.5"" HDD SSD",319
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-869-V80.jpg,Rosewill,ASRock B450 Steel Legend AM4 ATX AMD Motherboard,359
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-144-259-V06.jpg,MSI,MSI MEG X570 ACE AM4 ATX AMD Motherboard,349
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-137-466-V01.jpg,Synology Inc.,MSI Radeon RX 5700 DirectX 12 RX 5700 MECH OC Video Card,34
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AMBD_132165833704407510nga96frhtr.jpg,MSI,"Refurbished: Ninebot KickScooter by Segway ES3 with Dual Battery Folding Electric KickScooter, w/ External Battery, Dark Gray",1249
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-297-V01.jpg,GeIL,Rosewill ARC 550 Continuous 550W@40 C Degree Gaming Power Supply,166
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-297-V18.jpg,Toshiba,"MSI GL65 9SEK-065 Gaming Laptop Intel Core i7-9750H 2.60 GHz 15.6"" Windows 10 Home 64-bit",849
,https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/22-108-688-V01.jpg,NZXT,Synology 2 bay NAS DiskStation DS218j (Diskless),49
